Task,Model,Feature,Importance,Rank
Regression,gradient_boosting,Region_Gulf,0.0003,14
Regression,gradient_boosting,Region_Interior,0.0001,15
Regression,gradient_boosting,Factory_Secret Factory,0.0000,16
Regression,gradient_boosting,Division_Other,0.0000,17
Regression,gradient_boosting,Division_Sugar,0.0000,18
Regression,gradient_boosting,Factory_Wicked Choccy's,0.0000,19
Regression,gradient_boosting,Factory_The Other Factory,0.0000,20
Regression,linear_regression,Ship Mode_Standard Class,1.7132,1
Regression,linear_regression,Ship Mode_Second Class,0.7937,2
Regression,linear_regression,Ship Mode_Same Day,0.3333,3
Regression,linear_regression,Profit Margin %,0.1334,4
Regression,linear_regression,Gross Profit,0.0870,5
Regression,linear_regression,Cost,0.0802,6
Regression,linear_regression,Factory_Sugar Shack,0.0793,7
Regression,linear_regression,Division_Other,0.0676,8
Regression,linear_regression,Division_Sugar,0.0489,9
Regression,linear_regression,Factory_The Other Factory,0.0484,10
Regression,linear_regression,Factory_Wicked Choccy's,0.0481,11
Regression,linear_regression,Units,0.0462,12
Regression,linear_regression,Sales,0.0155,13
Regression,linear_regression,Order Month Number,0.0145,14
Regression,linear_regression,Order Quarter,0.0140,15
Regression,linear_regression,Region_Pacific,0.0110,16
Regression,linear_regression,Factory_Secret Factory,0.0053,17
Regression,linear_regression,Region_Interior,0.0031,18
Regression,linear_regression,Region_Gulf,0.0016,19
Regression,linear_regression,Is US Record,0.0012,20
Regression,random_forest,Ship Mode_Standard Class,0.6871,1
Regression,random_forest,Ship Mode_Second Class,0.2217,2
Regression,random_forest,Ship Mode_Same Day,0.0335,3
Regression,random_forest,Order Month Number,0.0129,4
Regression,random_forest,Cost,0.0087,5
Regression,random_forest,Gross Profit,0.0087,6
Regression,random_forest,Sales,0.0056,7
Regression,random_forest,Profit Margin %,0.0042,8
Regression,random_forest,Region_Pacific,0.0033,9
Regression,random_forest,Region_Interior,0.0031,10
Regression,random_forest,Units,0.0030,11
Regression,random_forest,Region_Gulf,0.0028,12
Regression,random_forest,Order Quarter,0.0023,13
Regression,random_forest,Is US Record,0.0014,14
Regression,random_forest,Factory_Wicked Choccy's,0.0009,15
Regression,random_forest,Factory_Secret Factory,0.0002,16
Regression,random_forest,Factory_Sugar Shack,0.0002,17
Regression,random_forest,Division_Other,0.0002,18
Regression,random_forest,Division_Sugar,0.0001,19
Regression,random_forest,Factory_The Other Factory,0.0001,20
