Row ID,Order ID,Order Date,Simulated Ship Date,Customer ID,Country/Region,City,State/Province,Region,Postal Code,Division,Product ID,Product Name,Factory ID,Factory,Factory Latitude,Factory Longitude,Factory Location,Factory -> State Route,Factory -> Region Route,Route ID,Customer Location,Ship Mode,Shipping Lead Time,Shipping Lead Time (Simulated),Delay Status,Route Efficiency Score,Order Year,Order Quarter,Order Month Number,Order Month Name,Order Week Number,Order Day,Order Day Name,Ship Year,Ship Quarter,Ship Month Number,Ship Month Name,Ship Week Number,Ship Day,Ship Day Name,Sales,Units,Cost,Gross Profit,Sales Per Unit,Cost Per Unit,Profit Margin %,Ship Date Valid,Is US Record
11,US-2021-167199-CHO-MIL-31000,2024-01-06,2024-01-12,167199,United States,Henderson,Kentucky,Gulf,42420,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Kentucky,Wicked Choccy's -> Gulf,R0157,"Henderson, Kentucky",Standard Class,,6,Delayed,Average,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,12,Friday,3.25,1,1.14,2.11,3.25,1.14,64.92307692307692,False,True
12,US-2021-130813-CHO-MIL-31000,2024-01-06,2024-01-11,130813,United States,Los Angeles,California,Pacific,90049,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> California,Wicked Choccy's -> Pacific,R0145,"Los Angeles, California",Second Class,,5,Moderate Delay,Average,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,11,Thursday,9.75,3,3.42,6.33,3.25,1.14,64.92307692307693,False,True
13,US-2021-167199-CHO-SCR-58000,2024-01-06,2024-01-12,167199,United States,Henderson,Kentucky,Gulf,42420,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Kentucky,Lot's O' Nuts -> Gulf,R0018,"Henderson, Kentucky",Standard Class,,6,Delayed,Average,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,12,Friday,14.4,4,4.4,10.0,3.6,1.1,69.44444444444444,False,True
14,US-2021-167199-CHO-FUD-51000,2024-01-06,2024-01-13,167199,United States,Henderson,Kentucky,Gulf,42420,Chocolate,CHO-FUD-51000,Wonka Bar - Fudge Mallows,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Kentucky,Lot's O' Nuts -> Gulf,R0018,"Henderson, Kentucky",Standard Class,,7,Delayed,Poor,2024,1,1,January,1,6,Saturday,2024,1,1,January,2,13,Saturday,7.2,2,2.4,4.8,3.6,1.2,66.66666666666666,False,True
15,US-2021-105417-CHO-MIL-31000,2024-01-07,2024-01-13,105417,United States,Huntsville,Texas,Interior,77340,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Texas,Wicked Choccy's -> Interior,R0190,"Huntsville, Texas",Standard Class,,6,Delayed,Average,2024,1,1,January,1,7,Sunday,2024,1,1,January,2,13,Saturday,9.75,3,3.42,6.33,3.25,1.14,64.92307692307693,False,True
16,US-2021-105417-CHO-TRI-54000,2024-01-07,2024-01-14,105417,United States,Huntsville,Texas,Interior,77340,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Texas,Wicked Choccy's -> Interior,R0190,"Huntsville, Texas",Standard Class,,7,Delayed,Poor,2024,1,1,January,1,7,Sunday,2024,1,1,January,2,14,Sunday,26.25,7,9.1,17.15,3.75,1.3,65.33333333333333,False,True
17,US-2021-135405-CHO-TRI-54000,2024-01-09,2024-01-15,135405,United States,Laredo,Texas,Interior,78041,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Texas,Wicked Choccy's -> Interior,R0190,"Laredo, Texas",Standard Class,,6,Delayed,Average,2024,1,1,January,2,9,Tuesday,2024,1,1,January,3,15,Monday,7.5,2,2.6,4.9,3.75,1.3,65.33333333333334,False,True
18,US-2021-135405-CHO-TRI-54000,2024-01-09,2024-01-13,135405,United States,Laredo,Texas,Interior,78041,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Texas,Wicked Choccy's -> Interior,R0190,"Laredo, Texas",Standard Class,,4,Moderate Delay,Good,2024,1,1,January,2,9,Tuesday,2024,1,1,January,2,13,Saturday,11.25,3,3.9,7.35,3.75,1.3,65.33333333333333,False,True
19,US-2021-149020-CHO-MIL-31000,2024-01-10,2024-01-17,149020,United States,Springfield,Virginia,Gulf,22153,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Virginia,Wicked Choccy's -> Gulf,R0193,"Springfield, Virginia",Standard Class,,7,Delayed,Poor,2024,1,1,January,2,10,Wednesday,2024,1,1,January,3,17,Wednesday,3.25,1,1.14,2.11,3.25,1.14,64.92307692307692,False,True
20,US-2021-149020-OTH-GUM-21000,2024-01-10,2024-01-15,149020,United States,Springfield,Virginia,Gulf,22153,Other,OTH-GUM-21000,Wonka Gum,F004,Secret Factory,41.446333,-90.565487,Secret Factory,Secret Factory -> Virginia,Secret Factory -> Gulf,R0094,"Springfield, Virginia",Standard Class,,5,Moderate Delay,Average,2024,1,1,January,2,10,Wednesday,2024,1,1,January,3,15,Monday,1.25,1,0.6,0.65,1.25,0.6,52.0,False,True
21,US-2021-130092-CHO-MIL-31000,2024-01-11,2024-01-13,130092,United States,Dover,Delaware,Atlantic,19901,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Delaware,Wicked Choccy's -> Atlantic,R0148,"Dover, Delaware",First Class,,2,On Time,Excellent,2024,1,1,January,2,11,Thursday,2024,1,1,January,2,13,Saturday,6.5,2,2.28,4.22,3.25,1.14,64.92307692307692,False,True
22,US-2021-157147-CHO-MIL-31000,2024-01-13,2024-01-18,157147,United States,San Francisco,California,Pacific,94109,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> California,Wicked Choccy's -> Pacific,R0145,"San Francisco, California",Standard Class,,5,Moderate Delay,Average,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,18,Thursday,9.75,3,3.42,6.33,3.25,1.14,64.92307692307693,False,True
23,US-2021-109232-CHO-NUT-13000,2024-01-13,2024-01-16,109232,United States,Mount Pleasant,South Carolina,Gulf,29464,Chocolate,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> South Carolina,Lot's O' Nuts -> Gulf,R0047,"Mount Pleasant, South Carolina",Second Class,,3,On Time,Good,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,16,Tuesday,20.94,6,6.0,14.94,3.49,1.0,71.34670487106017,False,True
24,US-2021-157147-CHO-MIL-31000,2024-01-13,2024-01-20,157147,United States,San Francisco,California,Pacific,94109,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> California,Wicked Choccy's -> Pacific,R0145,"San Francisco, California",Standard Class,,7,Delayed,Poor,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,20,Saturday,16.25,5,5.7,10.55,3.25,1.1400000000000001,64.92307692307693,False,True
25,US-2021-118192-CHO-SCR-58000,2024-01-13,2024-01-20,118192,United States,Newark,Ohio,Atlantic,43055,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Ohio,Lot's O' Nuts -> Atlantic,R0039,"Newark, Ohio",Standard Class,,7,Delayed,Poor,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,20,Saturday,7.2,2,2.2,5.0,3.6,1.1,69.44444444444444,False,True
26,US-2021-162775-CHO-TRI-54000,2024-01-13,2024-01-17,162775,United States,Bossier City,Louisiana,Gulf,71111,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Louisiana,Wicked Choccy's -> Gulf,R0158,"Bossier City, Louisiana",Second Class,,4,Moderate Delay,Good,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,17,Wednesday,11.25,3,3.9,7.35,3.75,1.3,65.33333333333333,False,True
27,US-2021-162775-OTH-KAZ-38000,2024-01-13,2024-01-17,162775,United States,Bossier City,Louisiana,Gulf,71111,Other,OTH-KAZ-38000,Kazookles,F005,The Other Factory,35.1175,-89.971107,The Other Factory,The Other Factory -> Louisiana,The Other Factory -> Gulf,R0122,"Bossier City, Louisiana",Second Class,,4,Moderate Delay,Good,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,17,Wednesday,9.75,3,9.0,0.75,3.25,3.0,7.6923076923076925,False,True
28,US-2021-162775-CHO-MIL-31000,2024-01-13,2024-01-18,162775,United States,Bossier City,Louisiana,Gulf,71111,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Louisiana,Wicked Choccy's -> Gulf,R0158,"Bossier City, Louisiana",Second Class,,5,Moderate Delay,Average,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,18,Thursday,6.5,2,2.28,4.22,3.25,1.14,64.92307692307692,False,True
29,US-2021-118192-CHO-SCR-58000,2024-01-13,2024-01-19,118192,United States,Newark,Ohio,Atlantic,43055,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Ohio,Lot's O' Nuts -> Atlantic,R0039,"Newark, Ohio",Standard Class,,6,Delayed,Average,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,19,Friday,25.2,7,7.7,17.5,3.6,1.1,69.44444444444444,False,True
30,US-2021-162775-CHO-MIL-31000,2024-01-13,2024-01-17,162775,United States,Bossier City,Louisiana,Gulf,71111,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Louisiana,Wicked Choccy's -> Gulf,R0158,"Bossier City, Louisiana",Second Class,,4,Moderate Delay,Good,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,17,Wednesday,19.5,6,6.84,12.66,3.25,1.14,64.92307692307693,False,True
31,US-2021-157147-CHO-NUT-13000,2024-01-13,2024-01-18,157147,United States,San Francisco,California,Pacific,94109,Chocolate,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> California,Lot's O' Nuts -> Pacific,R0006,"San Francisco, California",Standard Class,,5,Moderate Delay,Average,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,18,Thursday,17.45,5,5.0,12.45,3.4899999999999998,1.0,71.34670487106017,False,True
32,US-2021-162775-CHO-SCR-58000,2024-01-13,2024-01-16,162775,United States,Bossier City,Louisiana,Gulf,71111,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Louisiana,Lot's O' Nuts -> Gulf,R0019,"Bossier City, Louisiana",Second Class,,3,On Time,Good,2024,1,1,January,2,13,Saturday,2024,1,1,January,3,16,Tuesday,21.6,6,6.6,15.0,3.6,1.0999999999999999,69.44444444444444,False,True
33,US-2021-149524-OTH-GUM-21000,2024-01-14,2024-01-15,149524,United States,Philadelphia,Pennsylvania,Atlantic,19140,Other,OTH-GUM-21000,Wonka Gum,F004,Secret Factory,41.446333,-90.565487,Secret Factory,Secret Factory -> Pennsylvania,Secret Factory -> Atlantic,R0086,"Philadelphia, Pennsylvania",First Class,,1,On Time,Excellent,2024,1,1,January,2,14,Sunday,2024,1,1,January,3,15,Monday,5.0,4,2.4,2.6,1.25,0.6,52.0,False,True
34,US-2021-103366-CHO-SCR-58000,2024-01-15,2024-01-17,103366,United States,Roswell,Georgia,Gulf,30076,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Georgia,Lot's O' Nuts -> Gulf,R0012,"Roswell, Georgia",First Class,,2,On Time,Excellent,2024,1,1,January,3,15,Monday,2024,1,1,January,3,17,Wednesday,18.0,5,5.5,12.5,3.6,1.1,69.44444444444444,False,True
35,US-2021-115791-CHO-TRI-54000,2024-01-16,2024-01-21,115791,United States,Philadelphia,Pennsylvania,Atlantic,19134,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Pennsylvania,Wicked Choccy's -> Atlantic,R0182,"Philadelphia, Pennsylvania",Second Class,,5,Moderate Delay,Average,2024,1,1,January,3,16,Tuesday,2024,1,1,January,3,21,Sunday,22.5,6,7.8,14.7,3.75,1.3,65.33333333333333,False,True
36,US-2021-115791-CHO-FUD-51000,2024-01-16,2024-01-19,115791,United States,Philadelphia,Pennsylvania,Atlantic,19134,Chocolate,CHO-FUD-51000,Wonka Bar - Fudge Mallows,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Pennsylvania,Lot's O' Nuts -> Atlantic,R0043,"Philadelphia, Pennsylvania",Second Class,,3,On Time,Good,2024,1,1,January,3,16,Tuesday,2024,1,1,January,3,19,Friday,7.2,2,2.4,4.8,3.6,1.2,66.66666666666666,False,True
37,US-2021-115791-CHO-TRI-54000,2024-01-16,2024-01-21,115791,United States,Philadelphia,Pennsylvania,Atlantic,19134,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Pennsylvania,Wicked Choccy's -> Atlantic,R0182,"Philadelphia, Pennsylvania",Second Class,,5,Moderate Delay,Average,2024,1,1,January,3,16,Tuesday,2024,1,1,January,3,21,Sunday,11.25,3,3.9,7.35,3.75,1.3,65.33333333333333,False,True
38,US-2021-115791-CHO-SCR-58000,2024-01-16,2024-01-21,115791,United States,Philadelphia,Pennsylvania,Atlantic,19134,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Pennsylvania,Lot's O' Nuts -> Atlantic,R0043,"Philadelphia, Pennsylvania",Second Class,,5,Moderate Delay,Average,2024,1,1,January,3,16,Tuesday,2024,1,1,January,3,21,Sunday,10.8,3,3.3,7.5,3.6,1.0999999999999999,69.44444444444444,False,True
39,US-2021-123477-CHO-NUT-13000,2024-01-18,2024-01-21,123477,United States,Springfield,Oregon,Pacific,97477,Chocolate,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Oregon,Lot's O' Nuts -> Pacific,R0042,"Springfield, Oregon",Second Class,,3,On Time,Good,2024,1,1,January,3,18,Thursday,2024,1,1,January,3,21,Sunday,13.96,4,4.0,9.96,3.49,1.0,71.34670487106017,False,True
40,US-2021-146591-CHO-TRI-54000,2024-01-19,2024-01-21,146591,United States,Scottsdale,Arizona,Pacific,85254,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Arizona,Wicked Choccy's -> Pacific,R0142,"Scottsdale, Arizona",First Class,,2,On Time,Excellent,2024,1,1,January,3,19,Friday,2024,1,1,January,3,21,Sunday,18.75,5,6.5,12.25,3.75,1.3,65.33333333333333,False,True
41,US-2021-146591-CHO-FUD-51000,2024-01-19,2024-01-20,146591,United States,Scottsdale,Arizona,Pacific,85254,Chocolate,CHO-FUD-51000,Wonka Bar - Fudge Mallows,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Arizona,Lot's O' Nuts -> Pacific,R0003,"Scottsdale, Arizona",First Class,,1,On Time,Excellent,2024,1,1,January,3,19,Friday,2024,1,1,January,3,20,Saturday,36.0,10,12.0,24.0,3.6,1.2,66.66666666666666,False,True
43,US-2021-146591-CHO-FUD-51000,2024-01-19,2024-01-22,146591,United States,Scottsdale,Arizona,Pacific,85254,Chocolate,CHO-FUD-51000,Wonka Bar - Fudge Mallows,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Arizona,Lot's O' Nuts -> Pacific,R0003,"Scottsdale, Arizona",First Class,,3,On Time,Good,2024,1,1,January,3,19,Friday,2024,1,1,January,4,22,Monday,14.4,4,4.8,9.6,3.6,1.2,66.66666666666666,False,True
44,US-2021-147627-CHO-TRI-54000,2024-01-20,2024-01-26,147627,United States,Jonesboro,Arkansas,Gulf,72401,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Arkansas,Wicked Choccy's -> Gulf,R0143,"Jonesboro, Arkansas",Standard Class,,6,Delayed,Average,2024,1,1,January,3,20,Saturday,2024,1,1,January,4,26,Friday,11.25,3,3.9,7.35,3.75,1.3,65.33333333333333,False,True
45,US-2021-167927-CHO-FUD-51000,2024-01-20,2024-01-25,167927,United States,Westland,Michigan,Interior,48185,Chocolate,CHO-FUD-51000,Wonka Bar - Fudge Mallows,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Michigan,Lot's O' Nuts -> Interior,R0024,"Westland, Michigan",Standard Class,,5,Moderate Delay,Average,2024,1,1,January,3,20,Saturday,2024,1,1,January,4,25,Thursday,10.8,3,3.6,7.2,3.6,1.2,66.66666666666666,False,True
47,US-2021-147627-CHO-MIL-31000,2024-01-20,2024-01-24,147627,United States,Jonesboro,Arkansas,Gulf,72401,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Arkansas,Wicked Choccy's -> Gulf,R0143,"Jonesboro, Arkansas",Standard Class,,4,Moderate Delay,Good,2024,1,1,January,3,20,Saturday,2024,1,1,January,4,24,Wednesday,13.0,4,4.56,8.44,3.25,1.14,64.92307692307692,False,True
48,US-2021-148614-CHO-MIL-31000,2024-01-20,2024-01-27,148614,United States,Los Angeles,California,Pacific,90049,Chocolate,CHO-MIL-31000,Wonka Bar - Milk Chocolate,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> California,Wicked Choccy's -> Pacific,R0145,"Los Angeles, California",Standard Class,,7,Delayed,Poor,2024,1,1,January,3,20,Saturday,2024,1,1,January,4,27,Saturday,6.5,2,2.28,4.22,3.25,1.14,64.92307692307692,False,True
49,US-2021-167927-CHO-FUD-51000,2024-01-20,2024-01-25,167927,United States,Westland,Michigan,Interior,48185,Chocolate,CHO-FUD-51000,Wonka Bar - Fudge Mallows,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Michigan,Lot's O' Nuts -> Interior,R0024,"Westland, Michigan",Standard Class,,5,Moderate Delay,Average,2024,1,1,January,3,20,Saturday,2024,1,1,January,4,25,Thursday,14.4,4,4.8,9.6,3.6,1.2,66.66666666666666,False,True
50,US-2021-147627-CHO-TRI-54000,2024-01-20,2024-01-27,147627,United States,Jonesboro,Arkansas,Gulf,72401,Chocolate,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,F002,Wicked Choccy's,32.076176,-81.088371,Wicked Choccy's,Wicked Choccy's -> Arkansas,Wicked Choccy's -> Gulf,R0143,"Jonesboro, Arkansas",Standard Class,,7,Delayed,Poor,2024,1,1,January,3,20,Saturday,2024,1,1,January,4,27,Saturday,26.25,7,9.1,17.15,3.75,1.3,65.33333333333333,False,True
51,US-2021-147627-CHO-SCR-58000,2024-01-20,2024-01-26,147627,United States,Jonesboro,Arkansas,Gulf,72401,Chocolate,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,F001,Lot's O' Nuts,32.881893,-111.768036,Lot's O' Nuts,Lot's O' Nuts -> Arkansas,Lot's O' Nuts -> Gulf,R0004,"Jonesboro, Arkansas",Standard Class,,6,Delayed,Average,2024,1,1,January,3,20,Saturday,2024,1,1,January,4,26,Friday,10.8,3,3.3,7.5,3.6,1.0999999999999999,69.44444444444444,False,True
