Factory -> State Route,Total Shipments,Total Sales,Total Units,Total Gross Profit,Total Cost,Average Shipping Lead Time (Simulated),Lead Time Variability (Std Dev),Average Profit Margin,Average Sales,Average Units
Lot's O' Nuts -> Mississippi,25,448.43,126,312.33,136.10,4.53,1.98,69.40,14.95,4.20
Lot's O' Nuts -> Arkansas,25,417.02,117,287.22,129.80,4.52,1.35,68.82,14.38,4.03
Wicked Choccy's -> Missouri,25,352.50,102,229.50,123.00,4.11,1.66,65.08,12.59,3.64
Lot's O' Nuts -> Ontario,24,348.32,97,239.22,109.10,4.64,1.64,68.46,12.44,3.46
Lot's O' Nuts -> Rhode Island,23,339.36,95,233.26,106.10,3.59,1.35,69.01,11.70,3.28
Secret Factory -> New York,23,1026.25,101,514.45,511.80,4.21,1.89,50.92,42.76,4.21
Lot's O' Nuts -> Nevada,23,389.21,109,268.11,121.10,4.50,1.91,68.88,16.22,4.54
Wicked Choccy's -> Oklahoma,22,308.25,87,200.91,107.34,4.56,2.10,65.15,12.33,3.48
Wicked Choccy's -> Utah,22,362.50,104,236.10,126.40,4.61,1.75,65.12,15.76,4.52
The Other Factory -> California,21,233.75,70,33.75,200.00,4.38,1.86,11.03,11.13,3.33
Lot's O' Nuts -> Utah,21,383.11,107,262.61,120.50,4.57,1.89,68.66,13.68,3.82
Wicked Choccy's -> Arkansas,21,370.75,105,241.61,129.14,4.52,1.81,65.14,14.83,4.20
Lot's O' Nuts -> Louisiana,21,276.51,78,192.51,84.00,3.83,2.06,69.59,12.02,3.39
Lot's O' Nuts -> Quebec,20,242.93,68,165.83,77.10,4.58,2.28,68.53,10.12,2.83
Lot's O' Nuts -> Nebraska,20,284.48,80,197.88,86.60,4.32,1.94,69.59,12.93,3.64
Secret Factory -> Pennsylvania,19,762.50,100,382.90,379.60,4.11,2.35,51.16,40.13,5.26
Wicked Choccy's -> Rhode Island,18,282.25,81,183.83,98.42,4.24,1.51,65.08,13.44,3.86
Wicked Choccy's -> Alabama,18,333.75,97,217.25,116.50,4.27,2.00,65.09,15.17,4.41
Lot's O' Nuts -> New Mexico,18,260.71,73,179.41,81.30,5.17,1.42,69.31,14.48,4.06
Lot's O' Nuts -> British Columbia,18,253.40,71,173.80,79.60,5.44,1.38,68.02,14.08,3.94
Lot's O' Nuts -> South Carolina,18,274.12,77,189.92,84.20,3.80,1.64,69.28,13.71,3.85
Wicked Choccy's -> Mississippi,17,300.75,87,195.81,104.94,5.10,1.48,65.10,14.32,4.14
Wicked Choccy's -> Ontario,17,443.50,130,288.58,154.92,5.32,1.31,65.04,15.84,4.64
Wicked Choccy's -> Quebec,16,248.25,75,161.31,86.94,5.17,1.44,64.99,10.79,3.26
Secret Factory -> Texas,16,517.50,63,268.70,248.80,3.94,1.98,53.25,32.34,3.94
Lot's O' Nuts -> Kansas,15,188.93,53,130.83,58.10,4.33,2.19,69.34,12.60,3.53
Wicked Choccy's -> Louisiana,14,220.50,64,143.54,76.96,3.80,1.86,65.09,14.70,4.27
Lot's O' Nuts -> Iowa,14,227.87,64,157.47,70.40,4.38,1.26,69.17,14.24,4.00
Wicked Choccy's -> New Mexico,14,229.50,68,149.26,80.24,5.06,0.97,65.04,13.50,4.00
Wicked Choccy's -> South Carolina,14,299.50,84,195.26,104.24,3.89,1.53,65.20,16.64,4.67
Secret Factory -> Illinois,13,546.25,47,273.65,272.60,3.54,1.85,50.92,42.02,3.62
The Other Factory -> New York,13,181.75,54,29.75,152.00,4.93,1.98,12.70,12.98,3.86
Lot's O' Nuts -> New Hampshire,13,178.02,50,123.02,55.00,4.54,1.20,68.96,13.69,3.85
Wicked Choccy's -> Nebraska,12,185.75,51,121.21,64.54,4.07,2.23,65.22,13.27,3.64
Secret Factory -> Ohio,12,768.75,60,384.95,383.80,4.54,2.11,50.92,59.13,4.62
Lot's O' Nuts -> Idaho,12,146.50,41,100.90,45.60,4.86,1.66,69.00,10.46,2.93
Lot's O' Nuts -> Alberta,12,189.92,53,131.42,58.50,4.53,1.41,69.33,12.66,3.53
Wicked Choccy's -> Iowa,12,172.50,48,112.50,60.00,4.71,1.77,65.16,12.32,3.43
Secret Factory -> Washington,11,351.25,26,175.85,175.40,3.91,1.81,50.91,31.93,2.36
Wicked Choccy's -> Nevada,10,151.50,42,98.82,52.68,4.67,1.61,65.20,12.62,3.50
Wicked Choccy's -> New Hampshire,10,208.25,61,135.51,72.74,4.73,0.90,65.07,18.93,5.55
The Other Factory -> Texas,9,100.75,31,7.75,93.00,4.11,1.45,7.69,11.19,3.44
Sugar Shack -> New York,9,56.97,31,29.12,27.85,3.89,1.90,50.88,6.33,3.44
Wicked Choccy's -> Alberta,8,146.00,44,94.88,51.12,4.62,1.77,65.03,18.25,5.50
Wicked Choccy's -> Kansas,8,66.75,19,43.49,23.26,4.38,2.62,65.18,8.34,2.38
Secret Factory -> Colorado,7,171.25,20,103.85,67.40,2.71,1.89,55.43,24.46,2.86
The Other Factory -> Pennsylvania,7,97.50,30,7.50,90.00,4.14,2.04,7.69,13.93,4.29
Lot's O' Nuts -> Montana,7,92.61,26,64.01,28.60,5.25,0.46,68.88,11.58,3.25
Lot's O' Nuts -> District of Columbia,6,126.00,35,85.30,40.70,4.75,1.28,67.71,15.75,4.38
Lot's O' Nuts -> Prince Edward Island,6,78.10,22,54.90,23.20,5.50,1.38,70.08,13.02,3.67
Lot's O' Nuts -> South Dakota,6,107.12,30,74.62,32.50,4.88,1.13,69.81,13.39,3.75
Wicked Choccy's -> Nova Scotia,6,87.50,26,56.90,30.60,4.67,1.21,65.06,14.58,4.33
Wicked Choccy's -> Manitoba,6,110.50,32,71.94,38.56,4.11,1.76,65.01,12.28,3.56
Wicked Choccy's -> Idaho,6,78.75,23,51.25,27.50,4.00,1.91,65.10,11.25,3.29
Secret Factory -> Georgia,6,317.50,29,159.10,158.40,4.29,1.60,51.14,45.36,4.14
Secret Factory -> Florida,6,78.75,35,52.15,26.60,4.29,1.11,56.00,11.25,5.00
Secret Factory -> Michigan,5,82.50,21,41.70,40.80,5.00,2.92,51.60,16.50,4.20
Secret Factory -> Virginia,5,93.75,15,47.15,46.60,3.40,1.52,51.60,18.75,3.00
Lot's O' Nuts -> Maine,5,64.25,18,44.05,20.20,5.40,1.34,69.65,12.85,3.60
Lot's O' Nuts -> Newfoundland and Labrador,5,133.20,37,92.50,40.70,5.40,1.34,69.44,26.64,7.40
Secret Factory -> Wisconsin,5,415.00,32,207.80,207.20,5.20,2.49,50.80,83.00,6.40
Secret Factory -> Arizona,5,640.00,32,320.00,320.00,3.20,2.05,50.00,128.00,6.40
Wicked Choccy's -> Vermont,5,51.75,15,33.69,18.06,5.60,1.67,65.17,10.35,3.00
Wicked Choccy's -> Montana,5,109.50,30,71.46,38.04,4.14,2.67,65.27,15.64,4.29
Lot's O' Nuts -> New Brunswick,4,97.72,28,69.72,28.00,4.75,0.50,71.35,24.43,7.00
Wicked Choccy's -> British Columbia,4,37.50,10,24.50,13.00,5.25,0.50,65.33,9.38,2.50
The Other Factory -> Virginia,4,55.25,17,4.25,51.00,4.00,2.45,7.69,13.81,4.25
Wicked Choccy's -> New Brunswick,4,75.00,20,49.00,26.00,5.00,1.41,65.33,18.75,5.00
Secret Factory -> Indiana,4,21.25,17,11.05,10.20,4.25,1.26,52.00,5.31,4.25
Secret Factory -> North Carolina,4,20.00,16,10.40,9.60,3.75,2.63,52.00,5.00,4.00
Lot's O' Nuts -> North Dakota,4,57.16,16,39.66,17.50,4.60,1.67,69.27,11.43,3.20
Lot's O' Nuts -> Vermont,4,103.19,29,72.39,30.80,6.00,0.71,70.59,20.64,5.80
Secret Factory -> Maryland,3,8.75,7,4.55,4.20,5.67,2.31,52.00,2.92,2.33
Secret Factory -> Tennessee,3,62.50,20,31.70,30.80,4.33,0.58,51.33,20.83,6.67
Secret Factory -> Rhode Island,3,142.50,9,71.30,71.20,3.67,1.15,50.67,47.50,3.00
The Other Factory -> Tennessee,3,42.25,13,3.25,39.00,4.33,1.53,7.69,14.08,4.33
The Other Factory -> Washington,3,52.00,16,4.00,48.00,5.00,0.82,7.69,13.00,4.00
Secret Factory -> Alabama,3,150.00,15,75.20,74.80,3.33,1.53,50.67,50.00,5.00
The Other Factory -> Massachusetts,3,32.50,10,2.50,30.00,4.00,2.65,7.69,10.83,3.33
The Other Factory -> New Jersey,3,68.25,21,5.25,63.00,5.67,1.53,7.69,22.75,7.00
The Other Factory -> Ohio,3,29.25,9,2.25,27.00,4.00,3.00,7.69,9.75,3.00
Sugar Shack -> Pennsylvania,3,24.23,8,14.43,9.80,5.67,1.53,56.33,8.08,2.67
Sugar Shack -> Texas,3,15.00,10,7.00,8.00,4.33,0.58,46.67,5.00,3.33
Sugar Shack -> Michigan,3,17.74,7,10.09,7.65,4.67,1.53,56.33,5.91,2.33
The Other Factory -> Florida,3,39.00,12,3.00,36.00,4.33,2.31,7.69,13.00,4.00
Sugar Shack -> Florida,3,36.89,15,22.64,14.25,4.33,0.58,61.54,12.30,5.00
Wicked Choccy's -> Prince Edward Island,2,52.00,16,33.76,18.24,6.00,0.82,64.92,13.00,4.00
Wicked Choccy's -> Saskatchewan,2,29.25,9,18.99,10.26,5.50,2.12,64.92,14.62,4.50
Wicked Choccy's -> Maine,2,55.25,15,36.07,19.18,5.50,2.12,65.13,27.62,7.50
Secret Factory -> Arkansas,2,63.75,6,31.95,31.80,4.00,0.00,51.00,31.88,3.00
Secret Factory -> Alberta,2,180.00,9,90.00,90.00,4.00,0.00,50.00,90.00,4.50
Lot's O' Nuts -> West Virginia,2,38.72,11,27.42,11.30,3.00,2.83,70.40,19.36,5.50
Lot's O' Nuts -> Manitoba,2,18.00,5,12.00,6.00,1.50,0.71,66.67,9.00,2.50
Secret Factory -> Oregon,2,180.00,9,90.00,90.00,3.50,0.71,50.00,90.00,4.50
Secret Factory -> Kentucky,2,46.25,7,23.25,23.00,3.00,0.00,51.00,23.12,3.50
Secret Factory -> Louisiana,2,11.25,9,5.85,5.40,5.00,2.83,52.00,5.62,4.50
Secret Factory -> New Jersey,2,6.25,5,3.25,3.00,6.50,0.71,52.00,3.12,2.50
Secret Factory -> Nevada,2,202.50,12,101.30,101.20,5.00,2.83,51.00,101.25,6.00
Secret Factory -> Quebec,2,100.00,5,50.00,50.00,6.50,0.71,50.00,50.00,2.50
Secret Factory -> New Mexico,2,12.50,10,6.50,6.00,3.50,3.54,52.00,6.25,5.00
Secret Factory -> Massachusetts,2,100.00,5,50.00,50.00,5.00,2.83,50.00,50.00,2.50
The Other Factory -> Colorado,2,19.50,6,1.50,18.00,4.00,0.00,7.69,9.75,3.00
Sugar Shack -> Illinois,2,12.00,5,6.30,5.70,3.50,2.12,50.00,6.00,2.50
Sugar Shack -> Ohio,2,18.46,11,9.86,8.60,2.50,2.12,54.49,9.23,5.50
The Other Factory -> Kentucky,2,26.00,8,2.00,24.00,1.50,2.12,7.69,13.00,4.00
The Other Factory -> Alabama,2,35.75,11,2.75,33.00,6.00,1.41,7.69,17.88,5.50
The Other Factory -> Delaware,2,26.00,8,2.00,24.00,4.00,1.41,7.69,13.00,4.00
The Other Factory -> Georgia,2,39.00,12,3.00,36.00,5.00,1.41,7.69,19.50,6.00
The Other Factory -> New Hampshire,2,35.75,11,2.75,33.00,3.50,0.71,7.69,17.88,5.50
The Other Factory -> Oregon,2,26.00,8,2.00,24.00,3.00,0.00,7.69,13.00,4.00
Wicked Choccy's -> West Virginia,2,25.25,7,16.47,8.78,4.50,0.71,65.13,12.62,3.50
The Other Factory -> Arizona,2,38.75,10,18.75,20.00,2.00,1.41,42.74,19.38,5.00
The Other Factory -> Connecticut,2,9.75,3,0.75,9.00,5.50,2.12,7.69,4.88,1.50
Wicked Choccy's -> South Dakota,2,26.25,7,17.15,9.10,5.00,2.83,65.33,13.12,3.50
Wicked Choccy's -> District of Columbia,2,16.25,5,10.55,5.70,6.00,0.00,64.92,8.12,2.50
Secret Factory -> Delaware,1,60.00,3,30.00,30.00,5.00,,50.00,60.00,3.00
Lot's O' Nuts -> Wyoming,1,13.96,4,9.96,4.00,6.00,,71.35,13.96,4.00
Secret Factory -> Connecticut,1,2.50,2,1.30,1.20,3.00,,52.00,2.50,2.00
The Other Factory -> North Carolina,1,9.00,2,7.00,2.00,0.00,,77.78,9.00,2.00
The Other Factory -> Missouri,1,6.50,2,0.50,6.00,4.00,,7.69,6.50,2.00
The Other Factory -> Nevada,1,16.25,5,1.25,15.00,1.00,,7.69,16.25,5.00
The Other Factory -> Maryland,1,3.25,1,0.25,3.00,7.00,,7.69,3.25,1.00
The Other Factory -> Louisiana,1,9.75,3,0.75,9.00,4.00,,7.69,9.75,3.00
Sugar Shack -> California,1,6.00,4,2.80,3.20,4.00,,46.67,6.00,4.00
Sugar Shack -> Connecticut,1,3.98,2,2.48,1.50,6.00,,62.31,3.98,2.00
Sugar Shack -> Delaware,1,4.50,3,2.10,2.40,5.00,,46.67,4.50,3.00
Secret Factory -> Nebraska,1,2.50,2,1.30,1.20,4.00,,52.00,2.50,2.00
Secret Factory -> South Carolina,1,6.25,5,3.25,3.00,4.00,,52.00,6.25,5.00
Secret Factory -> Minnesota,1,5.00,4,2.60,2.40,3.00,,52.00,5.00,4.00
Secret Factory -> Mississippi,1,80.00,4,40.00,40.00,5.00,,50.00,80.00,4.00
Secret Factory -> New Hampshire,1,6.25,5,3.25,3.00,6.00,,52.00,6.25,5.00
The Other Factory -> Indiana,1,19.50,6,1.50,18.00,6.00,,7.69,19.50,6.00
Sugar Shack -> Washington,1,1.99,1,1.24,0.75,4.00,,62.31,1.99,1.00
Sugar Shack -> Tennessee,1,1.50,1,0.60,0.90,4.00,,40.00,1.50,1.00
Sugar Shack -> Rhode Island,1,4.50,3,2.10,2.40,4.00,,46.67,4.50,3.00
Sugar Shack -> New Jersey,1,5.97,3,3.72,2.25,5.00,,62.31,5.97,3.00
Secret Factory -> Utah,1,100.00,5,50.00,50.00,7.00,,50.00,100.00,5.00
Secret Factory -> Vermont,1,7.50,6,3.90,3.60,7.00,,52.00,7.50,6.00
Sugar Shack -> Arizona,1,11.25,3,6.75,4.50,6.00,,60.00,11.25,3.00
The Other Factory -> South Carolina,1,6.50,2,0.50,6.00,5.00,,7.69,6.50,2.00
The Other Factory -> Rhode Island,1,22.75,7,1.75,21.00,7.00,,7.69,22.75,7.00
Wicked Choccy's -> North Dakota,1,52.50,14,34.30,18.20,4.50,0.71,65.33,26.25,7.00
