State/Province,Total_Shipments,Total_Sales,Total_Profit,Total_Units,Total_Cost,Avg_Lead_Time,Avg_Profit_Margin,On_Time_Rate_%,Moderate_Delay_%,Delay_Rate_%,Region
Mississippi,52,829.18,548.14,217,281.04,4.77,67.29,19.23,42.31,38.46,Gulf
Ontario,56,791.82,527.80,227,264.02,4.98,66.75,12.50,48.21,39.29,Atlantic
Rhode Island,55,791.36,492.24,195,299.12,3.91,64.99,38.18,50.91,10.91,Atlantic
Nevada,39,759.46,469.48,168,289.98,4.49,65.26,25.64,41.03,33.33,Pacific
Quebec,49,591.18,377.14,148,214.04,4.94,66.11,12.24,46.94,40.82,Atlantic
South Carolina,40,586.37,388.93,168,197.44,3.88,65.47,32.50,55.00,12.50,Gulf
Louisiana,41,518.01,342.65,154,175.36,3.88,65.58,39.02,36.59,24.39,Gulf
Alberta,25,515.92,316.30,106,199.62,4.52,66.40,32.00,44.00,24.00,Pacific
New Mexico,37,502.71,335.17,151,167.54,5.03,66.41,8.11,59.46,32.43,Pacific
Nebraska,37,472.73,320.39,133,152.34,4.22,67.46,29.73,43.24,27.03,Interior
New Hampshire,27,428.27,264.53,127,163.74,4.59,62.21,18.52,62.96,18.52,Atlantic
Iowa,30,400.37,269.97,112,130.40,4.53,67.30,13.33,60.00,26.67,Interior
British Columbia,22,290.90,198.30,81,92.60,5.41,67.53,4.55,50.00,45.45,Pacific
Kansas,23,255.68,174.32,72,81.36,4.35,67.89,30.43,39.13,30.43,Interior
Idaho,21,225.25,152.15,64,73.10,4.57,67.70,23.81,47.62,28.57,Pacific
Montana,15,202.11,135.47,56,66.64,4.73,67.20,13.33,53.33,33.33,Pacific
New Brunswick,8,172.72,118.72,48,54.00,4.88,68.34,0.00,87.50,12.50,Atlantic
Vermont,11,162.44,109.98,50,52.46,5.91,66.43,9.09,18.18,72.73,Atlantic
District of Columbia,10,142.25,95.85,40,46.40,5.00,67.15,10.00,50.00,40.00,Atlantic
South Dakota,10,133.37,91.77,37,41.60,4.90,68.92,20.00,40.00,40.00,Interior
Newfoundland and Labrador,5,133.20,92.50,37,40.70,5.40,69.44,0.00,40.00,60.00,Atlantic
Prince Edward Island,10,130.10,88.66,38,41.44,5.70,68.02,0.00,40.00,60.00,Atlantic
Manitoba,11,128.50,83.94,37,44.56,3.64,65.31,36.36,54.55,9.09,Interior
Maine,7,119.50,80.12,33,39.38,5.43,68.36,0.00,42.86,57.14,Atlantic
North Dakota,7,109.66,73.96,30,35.70,4.57,68.14,28.57,57.14,14.29,Interior
Nova Scotia,6,87.50,56.90,26,30.60,4.67,65.06,16.67,50.00,33.33,Atlantic
West Virginia,4,63.97,43.89,18,20.08,3.75,67.76,25.00,75.00,0.00,Atlantic
Saskatchewan,2,29.25,18.99,9,10.26,5.50,64.92,0.00,50.00,50.00,Pacific
Wyoming,1,13.96,9.96,4,4.00,6.00,71.35,0.00,0.00,100.00,Pacific
