Order ID,State/Province,Region,City,Order Date,Factory,Ship Mode,Sales,Gross Profit,Profit Margin %,Shipping Lead Time (Simulated),Delay Status,Route Efficiency Score,Units,Cost
US-2021-105417-CHO-MIL-31000,Texas,Interior,Huntsville,2024-01-07,Wicked Choccy's,Standard Class,9.75,6.33,64.92,6,Delayed,Average,3,3.42
US-2021-105417-CHO-TRI-54000,Texas,Interior,Huntsville,2024-01-07,Wicked Choccy's,Standard Class,26.25,17.15,65.33,7,Delayed,Poor,7,9.10
US-2021-135405-CHO-TRI-54000,Texas,Interior,Laredo,2024-01-09,Wicked Choccy's,Standard Class,7.50,4.90,65.33,6,Delayed,Average,2,2.60
US-2021-135405-CHO-TRI-54000,Texas,Interior,Laredo,2024-01-09,Wicked Choccy's,Standard Class,11.25,7.35,65.33,4,Moderate Delay,Good,3,3.90
US-2021-149020-CHO-MIL-31000,Virginia,Gulf,Springfield,2024-01-10,Wicked Choccy's,Standard Class,3.25,2.11,64.92,7,Delayed,Poor,1,1.14
US-2021-149020-OTH-GUM-21000,Virginia,Gulf,Springfield,2024-01-10,Secret Factory,Standard Class,1.25,0.65,52.00,5,Moderate Delay,Average,1,0.60
US-2021-130092-CHO-MIL-31000,Delaware,Atlantic,Dover,2024-01-11,Wicked Choccy's,First Class,6.50,4.22,64.92,2,On Time,Excellent,2,2.28
US-2021-157147-CHO-MIL-31000,California,Pacific,San Francisco,2024-01-13,Wicked Choccy's,Standard Class,9.75,6.33,64.92,5,Moderate Delay,Average,3,3.42
US-2021-109232-CHO-NUT-13000,South Carolina,Gulf,Mount Pleasant,2024-01-13,Lot's O' Nuts,Second Class,20.94,14.94,71.35,3,On Time,Good,6,6.00
US-2021-157147-CHO-MIL-31000,California,Pacific,San Francisco,2024-01-13,Wicked Choccy's,Standard Class,16.25,10.55,64.92,7,Delayed,Poor,5,5.70
US-2021-118192-CHO-SCR-58000,Ohio,Atlantic,Newark,2024-01-13,Lot's O' Nuts,Standard Class,7.20,5.00,69.44,7,Delayed,Poor,2,2.20
US-2021-162775-CHO-TRI-54000,Louisiana,Gulf,Bossier City,2024-01-13,Wicked Choccy's,Second Class,11.25,7.35,65.33,4,Moderate Delay,Good,3,3.90
US-2021-162775-OTH-KAZ-38000,Louisiana,Gulf,Bossier City,2024-01-13,The Other Factory,Second Class,9.75,0.75,7.69,4,Moderate Delay,Good,3,9.00
US-2021-162775-CHO-MIL-31000,Louisiana,Gulf,Bossier City,2024-01-13,Wicked Choccy's,Second Class,6.50,4.22,64.92,5,Moderate Delay,Average,2,2.28
US-2021-118192-CHO-SCR-58000,Ohio,Atlantic,Newark,2024-01-13,Lot's O' Nuts,Standard Class,25.20,17.50,69.44,6,Delayed,Average,7,7.70
US-2021-162775-CHO-MIL-31000,Louisiana,Gulf,Bossier City,2024-01-13,Wicked Choccy's,Second Class,19.50,12.66,64.92,4,Moderate Delay,Good,6,6.84
US-2021-157147-CHO-NUT-13000,California,Pacific,San Francisco,2024-01-13,Lot's O' Nuts,Standard Class,17.45,12.45,71.35,5,Moderate Delay,Average,5,5.00
US-2021-162775-CHO-SCR-58000,Louisiana,Gulf,Bossier City,2024-01-13,Lot's O' Nuts,Second Class,21.60,15.00,69.44,3,On Time,Good,6,6.60
US-2021-149524-OTH-GUM-21000,Pennsylvania,Atlantic,Philadelphia,2024-01-14,Secret Factory,First Class,5.00,2.60,52.00,1,On Time,Excellent,4,2.40
US-2021-103366-CHO-SCR-58000,Georgia,Gulf,Roswell,2024-01-15,Lot's O' Nuts,First Class,18.00,12.50,69.44,2,On Time,Excellent,5,5.50
US-2021-115791-CHO-TRI-54000,Pennsylvania,Atlantic,Philadelphia,2024-01-16,Wicked Choccy's,Second Class,22.50,14.70,65.33,5,Moderate Delay,Average,6,7.80
US-2021-115791-CHO-FUD-51000,Pennsylvania,Atlantic,Philadelphia,2024-01-16,Lot's O' Nuts,Second Class,7.20,4.80,66.67,3,On Time,Good,2,2.40
US-2021-115791-CHO-TRI-54000,Pennsylvania,Atlantic,Philadelphia,2024-01-16,Wicked Choccy's,Second Class,11.25,7.35,65.33,5,Moderate Delay,Average,3,3.90
US-2021-115791-CHO-SCR-58000,Pennsylvania,Atlantic,Philadelphia,2024-01-16,Lot's O' Nuts,Second Class,10.80,7.50,69.44,5,Moderate Delay,Average,3,3.30
US-2021-123477-CHO-NUT-13000,Oregon,Pacific,Springfield,2024-01-18,Lot's O' Nuts,Second Class,13.96,9.96,71.35,3,On Time,Good,4,4.00
US-2021-146591-CHO-TRI-54000,Arizona,Pacific,Scottsdale,2024-01-19,Wicked Choccy's,First Class,18.75,12.25,65.33,2,On Time,Excellent,5,6.50
US-2021-146591-CHO-FUD-51000,Arizona,Pacific,Scottsdale,2024-01-19,Lot's O' Nuts,First Class,36.00,24.00,66.67,1,On Time,Excellent,10,12.00
US-2021-146591-CHO-FUD-51000,Arizona,Pacific,Scottsdale,2024-01-19,Lot's O' Nuts,First Class,14.40,9.60,66.67,3,On Time,Good,4,4.80
US-2021-147627-CHO-TRI-54000,Arkansas,Gulf,Jonesboro,2024-01-20,Wicked Choccy's,Standard Class,11.25,7.35,65.33,6,Delayed,Average,3,3.90
US-2021-167927-CHO-FUD-51000,Michigan,Interior,Westland,2024-01-20,Lot's O' Nuts,Standard Class,10.80,7.20,66.67,5,Moderate Delay,Average,3,3.60
US-2021-147627-CHO-MIL-31000,Arkansas,Gulf,Jonesboro,2024-01-20,Wicked Choccy's,Standard Class,13.00,8.44,64.92,4,Moderate Delay,Good,4,4.56
US-2021-148614-CHO-MIL-31000,California,Pacific,Los Angeles,2024-01-20,Wicked Choccy's,Standard Class,6.50,4.22,64.92,7,Delayed,Poor,2,2.28
US-2021-167927-CHO-FUD-51000,Michigan,Interior,Westland,2024-01-20,Lot's O' Nuts,Standard Class,14.40,9.60,66.67,5,Moderate Delay,Average,4,4.80
US-2021-147627-CHO-TRI-54000,Arkansas,Gulf,Jonesboro,2024-01-20,Wicked Choccy's,Standard Class,26.25,17.15,65.33,7,Delayed,Poor,7,9.10
US-2021-147627-CHO-SCR-58000,Arkansas,Gulf,Jonesboro,2024-01-20,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,6,Delayed,Average,3,3.30
US-2021-167927-CHO-NUT-13000,Michigan,Interior,Westland,2024-01-20,Lot's O' Nuts,Standard Class,10.47,7.47,71.35,7,Delayed,Poor,3,3.00
US-2021-167927-CHO-MIL-31000,Michigan,Interior,Westland,2024-01-20,Wicked Choccy's,Standard Class,16.25,10.55,64.92,7,Delayed,Poor,5,5.70
US-2021-147774-CHO-NUT-13000,Tennessee,Gulf,Smyrna,2024-01-20,Lot's O' Nuts,Standard Class,3.49,2.49,71.35,4,Moderate Delay,Good,1,1.00
US-2021-167927-CHO-TRI-54000,Michigan,Interior,Westland,2024-01-20,Wicked Choccy's,Standard Class,18.75,12.25,65.33,5,Moderate Delay,Average,5,6.50
US-2021-147627-CHO-FUD-51000,Arkansas,Gulf,Jonesboro,2024-01-20,Lot's O' Nuts,Standard Class,10.80,7.20,66.67,5,Moderate Delay,Average,3,3.60
US-2021-148614-CHO-SCR-58000,California,Pacific,Los Angeles,2024-01-20,Lot's O' Nuts,Standard Class,7.20,5.00,69.44,5,Moderate Delay,Average,2,2.20
US-2021-167927-CHO-FUD-51000,Michigan,Interior,Westland,2024-01-20,Lot's O' Nuts,Standard Class,3.60,2.40,66.67,4,Moderate Delay,Good,1,1.20
US-2021-167927-CHO-MIL-31000,Michigan,Interior,Westland,2024-01-20,Wicked Choccy's,Standard Class,6.50,4.22,64.92,6,Delayed,Average,2,2.28
US-2021-147627-CHO-FUD-51000,Arkansas,Gulf,Jonesboro,2024-01-20,Lot's O' Nuts,Standard Class,25.20,16.80,66.67,4,Moderate Delay,Good,7,8.40
US-2021-110422-CHO-TRI-54000,Florida,Gulf,Miami,2024-01-21,Wicked Choccy's,Second Class,11.25,7.35,65.33,5,Moderate Delay,Average,3,3.90
CA-2021-115238-CHO-FUD-51000,Ontario,Atlantic,Toronto,2024-01-21,Lot's O' Nuts,Standard Class,18.00,12.00,66.67,6,Delayed,Average,5,6.00
CA-2021-115238-CHO-MIL-31000,Ontario,Atlantic,Toronto,2024-01-21,Wicked Choccy's,Standard Class,3.25,2.11,64.92,7,Delayed,Poor,1,1.14
CA-2021-115238-CHO-TRI-54000,Ontario,Atlantic,Toronto,2024-01-21,Wicked Choccy's,Standard Class,18.75,12.25,65.33,6,Delayed,Average,5,6.50
CA-2021-115238-CHO-FUD-51000,Ontario,Atlantic,Toronto,2024-01-21,Lot's O' Nuts,Standard Class,3.60,2.40,66.67,5,Moderate Delay,Average,1,1.20
CA-2021-115238-CHO-MIL-31000,Ontario,Atlantic,Toronto,2024-01-21,Wicked Choccy's,Standard Class,32.50,21.10,64.92,7,Delayed,Poor,10,11.40
US-2021-146997-CHO-TRI-54000,Indiana,Interior,Lafayette,2024-01-23,Wicked Choccy's,Standard Class,11.25,7.35,65.33,5,Moderate Delay,Average,3,3.90
US-2021-102645-CHO-FUD-51000,Nevada,Pacific,Las Vegas,2024-01-23,Lot's O' Nuts,Standard Class,21.60,14.40,66.67,5,Moderate Delay,Average,6,7.20
US-2021-167997-CHO-TRI-54000,South Dakota,Interior,Rapid City,2024-01-26,Wicked Choccy's,First Class,7.50,4.90,65.33,3,On Time,Good,2,2.60
US-2021-155502-CHO-MIL-31000,Virginia,Gulf,Alexandria,2024-01-26,Wicked Choccy's,Standard Class,9.75,6.33,64.92,5,Moderate Delay,Average,3,3.42
US-2021-155502-CHO-MIL-31000,Virginia,Gulf,Alexandria,2024-01-26,Wicked Choccy's,Standard Class,6.50,4.22,64.92,4,Moderate Delay,Good,2,2.28
US-2021-155502-CHO-TRI-54000,Virginia,Gulf,Alexandria,2024-01-26,Wicked Choccy's,Standard Class,11.25,7.35,65.33,5,Moderate Delay,Average,3,3.90
US-2021-155502-CHO-MIL-31000,Virginia,Gulf,Alexandria,2024-01-26,Wicked Choccy's,Standard Class,26.00,16.88,64.92,7,Delayed,Poor,8,9.12
US-2021-155502-CHO-FUD-51000,Virginia,Gulf,Alexandria,2024-01-26,Lot's O' Nuts,Standard Class,7.20,4.80,66.67,4,Moderate Delay,Good,2,2.40
US-2021-155502-CHO-MIL-31000,Virginia,Gulf,Alexandria,2024-01-26,Wicked Choccy's,Standard Class,42.25,27.43,64.92,5,Moderate Delay,Average,13,14.82
US-2021-117163-CHO-NUT-13000,California,Pacific,San Diego,2024-01-27,Lot's O' Nuts,Standard Class,10.47,7.47,71.35,4,Moderate Delay,Good,3,3.00
US-2021-117163-CHO-TRI-54000,California,Pacific,San Diego,2024-01-27,Wicked Choccy's,Standard Class,15.00,9.80,65.33,6,Delayed,Average,4,5.20
US-2021-117163-CHO-SCR-58000,California,Pacific,San Diego,2024-01-27,Lot's O' Nuts,Standard Class,3.60,2.50,69.44,5,Moderate Delay,Average,1,1.10
US-2021-100328-CHO-MIL-31000,New York,Atlantic,New York City,2024-01-28,Wicked Choccy's,Standard Class,3.25,2.11,64.92,5,Moderate Delay,Average,1,1.14
US-2021-134103-CHO-NUT-13000,Michigan,Interior,Detroit,2024-01-30,Lot's O' Nuts,Standard Class,6.98,4.98,71.35,4,Moderate Delay,Good,2,2.00
US-2021-115161-CHO-MIL-31000,California,Pacific,Mission Viejo,2024-01-31,Wicked Choccy's,First Class,6.50,4.22,64.92,2,On Time,Excellent,2,2.28
US-2021-140795-CHO-SCR-58000,Wisconsin,Interior,Green Bay,2024-02-01,Lot's O' Nuts,First Class,21.60,15.00,69.44,3,On Time,Good,6,6.60
US-2021-123400-CHO-MIL-31000,Florida,Gulf,Saint Petersburg,2024-02-02,Wicked Choccy's,Standard Class,6.50,4.22,64.92,7,Delayed,Poor,2,2.28
US-2021-139857-CHO-FUD-51000,California,Pacific,San Diego,2024-02-02,Lot's O' Nuts,Standard Class,18.00,12.00,66.67,5,Moderate Delay,Average,5,6.00
US-2021-123400-CHO-TRI-54000,Florida,Gulf,Saint Petersburg,2024-02-02,Wicked Choccy's,Standard Class,18.75,12.25,65.33,4,Moderate Delay,Good,5,6.50
US-2021-111059-CHO-NUT-13000,Washington,Pacific,Seattle,2024-02-03,Lot's O' Nuts,Second Class,10.47,7.47,71.35,5,Moderate Delay,Average,3,3.00
US-2021-111059-CHO-SCR-58000,Washington,Pacific,Seattle,2024-02-03,Lot's O' Nuts,Second Class,7.20,5.00,69.44,4,Moderate Delay,Good,2,2.20
US-2021-104808-CHO-FUD-51000,California,Pacific,Escondido,2024-02-04,Lot's O' Nuts,Second Class,7.20,4.80,66.67,5,Moderate Delay,Average,2,2.40
US-2021-107181-CHO-TRI-54000,California,Pacific,San Diego,2024-02-04,Wicked Choccy's,Standard Class,11.25,7.35,65.33,4,Moderate Delay,Good,3,3.90
US-2021-107181-OTH-KAZ-38000,California,Pacific,San Diego,2024-02-04,The Other Factory,Standard Class,13.00,1.00,7.69,5,Moderate Delay,Average,4,12.00
US-2021-108182-CHO-NUT-13000,Illinois,Interior,Romeoville,2024-02-06,Lot's O' Nuts,Second Class,6.98,4.98,71.35,5,Moderate Delay,Average,2,2.00
US-2021-131905-CHO-TRI-54000,Virginia,Gulf,Chesapeake,2024-02-06,Wicked Choccy's,First Class,15.00,9.80,65.33,3,On Time,Good,4,5.20
US-2021-131905-CHO-NUT-13000,Virginia,Gulf,Chesapeake,2024-02-06,Lot's O' Nuts,First Class,17.45,12.45,71.35,2,On Time,Excellent,5,5.00
US-2021-131905-CHO-MIL-31000,Virginia,Gulf,Chesapeake,2024-02-06,Wicked Choccy's,First Class,3.25,2.11,64.92,3,On Time,Good,1,1.14
US-2021-169390-CHO-MIL-31000,New York,Atlantic,New York City,2024-02-07,Wicked Choccy's,Second Class,13.00,8.44,64.92,5,Moderate Delay,Average,4,4.56
US-2021-107755-CHO-FUD-51000,New Jersey,Atlantic,Linden,2024-02-07,Lot's O' Nuts,Standard Class,25.20,16.80,66.67,5,Moderate Delay,Average,7,8.40
US-2021-125759-OTH-GUM-21000,Nevada,Pacific,North Las Vegas,2024-02-08,Secret Factory,First Class,2.50,1.30,52.00,3,On Time,Good,2,1.20
US-2021-168368-CHO-TRI-54000,Missouri,Interior,Columbia,2024-02-11,Wicked Choccy's,Second Class,3.75,2.45,65.33,3,On Time,Good,1,1.30
US-2021-168368-CHO-TRI-54000,Missouri,Interior,Columbia,2024-02-11,Wicked Choccy's,Second Class,11.25,7.35,65.33,3,On Time,Good,3,3.90
US-2021-127614-CHO-MIL-31000,Virginia,Gulf,Chesapeake,2024-02-11,Wicked Choccy's,Standard Class,19.50,12.66,64.92,6,Delayed,Average,6,6.84
US-2021-127614-CHO-MIL-31000,Virginia,Gulf,Chesapeake,2024-02-11,Wicked Choccy's,Standard Class,6.50,4.22,64.92,6,Delayed,Average,2,2.28
US-2021-168368-CHO-NUT-13000,Missouri,Interior,Columbia,2024-02-11,Lot's O' Nuts,Second Class,10.47,7.47,71.35,3,On Time,Good,3,3.00
US-2021-168368-CHO-SCR-58000,Missouri,Interior,Columbia,2024-02-11,Lot's O' Nuts,Second Class,7.20,5.00,69.44,5,Moderate Delay,Average,2,2.20
US-2021-168368-CHO-SCR-58000,Missouri,Interior,Columbia,2024-02-11,Lot's O' Nuts,Second Class,10.80,7.50,69.44,3,On Time,Good,3,3.30
US-2021-168368-CHO-TRI-54000,Missouri,Interior,Columbia,2024-02-11,Wicked Choccy's,Second Class,7.50,4.90,65.33,5,Moderate Delay,Average,2,2.60
US-2021-127614-CHO-SCR-58000,Virginia,Gulf,Chesapeake,2024-02-11,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,4,Moderate Delay,Good,3,3.30
US-2021-110674-CHO-SCR-58000,California,Pacific,Concord,2024-02-12,Lot's O' Nuts,Standard Class,7.20,5.00,69.44,7,Delayed,Poor,2,2.20
US-2021-121762-CHO-FUD-51000,Washington,Pacific,Seattle,2024-02-14,Lot's O' Nuts,Standard Class,7.20,4.80,66.67,7,Delayed,Poor,2,2.40
US-2021-107706-CHO-MIL-31000,Texas,Interior,Houston,2024-02-14,Wicked Choccy's,Second Class,9.75,6.33,64.92,5,Moderate Delay,Average,3,3.42
US-2021-121762-CHO-SCR-58000,Washington,Pacific,Seattle,2024-02-14,Lot's O' Nuts,Standard Class,7.20,5.00,69.44,6,Delayed,Average,2,2.20
US-2021-121762-CHO-SCR-58000,Washington,Pacific,Seattle,2024-02-14,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,5,Moderate Delay,Average,3,3.30
US-2021-165568-CHO-SCR-58000,Washington,Pacific,Seattle,2024-02-15,Lot's O' Nuts,Standard Class,18.00,12.50,69.44,6,Delayed,Average,5,5.50
US-2021-122567-CHO-FUD-51000,Texas,Interior,Dallas,2024-02-16,Lot's O' Nuts,Standard Class,7.20,4.80,66.67,5,Moderate Delay,Average,2,2.40
US-2021-122567-CHO-TRI-54000,Texas,Interior,Dallas,2024-02-16,Wicked Choccy's,Standard Class,11.25,7.35,65.33,7,Delayed,Poor,3,3.90
US-2021-154165-CHO-MIL-31000,Illinois,Interior,Chicago,2024-02-17,Wicked Choccy's,Standard Class,45.50,29.54,64.92,6,Delayed,Average,14,15.96
US-2021-165589-CHO-TRI-54000,Texas,Interior,Lubbock,2024-02-18,Wicked Choccy's,Same Day,18.75,12.25,65.33,0,On Time,Excellent,5,6.50
US-2021-152905-CHO-FUD-51000,Texas,Interior,Arlington,2024-02-18,Lot's O' Nuts,Standard Class,7.20,4.80,66.67,6,Delayed,Average,2,2.40
US-2021-109491-CHO-MIL-31000,Indiana,Interior,Richmond,2024-02-20,Wicked Choccy's,Standard Class,13.00,8.44,64.92,6,Delayed,Average,4,4.56
US-2021-164903-CHO-SCR-58000,California,Pacific,Los Angeles,2024-02-20,Lot's O' Nuts,Standard Class,7.20,5.00,69.44,4,Moderate Delay,Good,2,2.20
US-2021-109491-CHO-MIL-31000,Indiana,Interior,Richmond,2024-02-20,Wicked Choccy's,Standard Class,9.75,6.33,64.92,4,Moderate Delay,Good,3,3.42
US-2021-165540-CHO-TRI-54000,Illinois,Interior,Woodstock,2024-02-21,Wicked Choccy's,Standard Class,18.75,12.25,65.33,4,Moderate Delay,Good,5,6.50
US-2021-133354-CHO-NUT-13000,California,Pacific,Moreno Valley,2024-02-22,Lot's O' Nuts,First Class,10.47,7.47,71.35,1,On Time,Excellent,3,3.00
US-2021-103744-CHO-SCR-58000,Texas,Interior,El Paso,2024-02-23,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,5,Moderate Delay,Average,3,3.30
US-2021-103744-OTH-GUM-21000,Texas,Interior,El Paso,2024-02-23,Secret Factory,Standard Class,3.75,1.95,52.00,6,Delayed,Average,3,1.80
US-2021-137680-CHO-FUD-51000,Oregon,Pacific,Medford,2024-02-24,Lot's O' Nuts,Standard Class,10.80,7.20,66.67,6,Delayed,Average,3,3.60
US-2021-137680-CHO-MIL-31000,Oregon,Pacific,Medford,2024-02-24,Wicked Choccy's,Standard Class,13.00,8.44,64.92,5,Moderate Delay,Average,4,4.56
US-2021-156545-CHO-FUD-51000,Ohio,Atlantic,Columbus,2024-02-27,Lot's O' Nuts,First Class,14.40,9.60,66.67,3,On Time,Good,4,4.80
US-2021-113880-CHO-NUT-13000,Illinois,Interior,Elmhurst,2024-03-01,Lot's O' Nuts,Standard Class,20.94,14.94,71.35,6,Delayed,Average,6,6.00
US-2021-131009-CHO-SCR-58000,Texas,Interior,El Paso,2024-03-01,Lot's O' Nuts,Standard Class,21.60,15.00,69.44,4,Moderate Delay,Good,6,6.60
US-2021-104269-CHO-SCR-58000,Washington,Pacific,Seattle,2024-03-01,Lot's O' Nuts,Second Class,7.20,5.00,69.44,5,Moderate Delay,Average,2,2.20
US-2021-131009-CHO-TRI-54000,Texas,Interior,El Paso,2024-03-01,Wicked Choccy's,Standard Class,22.50,14.70,65.33,6,Delayed,Average,6,7.80
US-2021-168312-CHO-SCR-58000,Texas,Interior,Houston,2024-03-01,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,6,Delayed,Average,3,3.30
US-2021-131009-CHO-FUD-51000,Texas,Interior,El Paso,2024-03-01,Lot's O' Nuts,Standard Class,18.00,12.00,66.67,6,Delayed,Average,5,6.00
US-2021-113880-OTH-LIC-15000,Illinois,Interior,Elmhurst,2024-03-01,Secret Factory,Standard Class,60.00,30.00,50.00,6,Delayed,Average,3,30.00
US-2021-131009-CHO-TRI-54000,Texas,Interior,El Paso,2024-03-01,Wicked Choccy's,Standard Class,11.25,7.35,65.33,4,Moderate Delay,Good,3,3.90
US-2021-143707-CHO-SCR-58000,New York,Atlantic,New York City,2024-03-01,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,6,Delayed,Average,3,3.30
US-2021-107524-CHO-MIL-31000,New York,Atlantic,New York City,2024-03-02,Wicked Choccy's,Standard Class,6.50,4.22,64.92,7,Delayed,Poor,2,2.28
US-2021-111157-CHO-TRI-54000,Pennsylvania,Atlantic,Philadelphia,2024-03-02,Wicked Choccy's,Standard Class,3.75,2.45,65.33,5,Moderate Delay,Average,1,1.30
US-2021-107524-CHO-NUT-13000,New York,Atlantic,New York City,2024-03-02,Lot's O' Nuts,Standard Class,17.45,12.45,71.35,6,Delayed,Average,5,5.00
US-2021-111157-CHO-MIL-31000,Pennsylvania,Atlantic,Philadelphia,2024-03-02,Wicked Choccy's,Standard Class,9.75,6.33,64.92,4,Moderate Delay,Good,3,3.42
US-2021-127978-CHO-TRI-54000,Ohio,Atlantic,Columbus,2024-03-03,Wicked Choccy's,Standard Class,18.75,12.25,65.33,5,Moderate Delay,Average,5,6.50
US-2021-105648-CHO-MIL-31000,California,Pacific,San Diego,2024-03-03,Wicked Choccy's,Standard Class,9.75,6.33,64.92,5,Moderate Delay,Average,3,3.42
US-2021-130421-CHO-NUT-13000,Texas,Interior,Houston,2024-03-03,Lot's O' Nuts,Standard Class,10.47,7.47,71.35,7,Delayed,Poor,3,3.00
US-2021-155852-CHO-FUD-51000,North Carolina,Gulf,Wilmington,2024-03-03,Lot's O' Nuts,Second Class,14.40,9.60,66.67,3,On Time,Good,4,4.80
US-2021-127964-CHO-SCR-58000,New York,Atlantic,New York City,2024-03-03,Lot's O' Nuts,Standard Class,18.00,12.50,69.44,5,Moderate Delay,Average,5,5.50
US-2021-127964-CHO-SCR-58000,New York,Atlantic,New York City,2024-03-03,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,5,Moderate Delay,Average,3,3.30
US-2021-127978-CHO-SCR-58000,Ohio,Atlantic,Columbus,2024-03-03,Lot's O' Nuts,Standard Class,10.80,7.50,69.44,7,Delayed,Poor,3,3.30
US-2021-127978-CHO-NUT-13000,Ohio,Atlantic,Columbus,2024-03-03,Lot's O' Nuts,Standard Class,27.92,19.92,71.35,7,Delayed,Poor,8,8.00
US-2021-127964-CHO-MIL-31000,New York,Atlantic,New York City,2024-03-03,Wicked Choccy's,Standard Class,3.25,2.11,64.92,4,Moderate Delay,Good,1,1.14
US-2021-117016-CHO-NUT-13000,Florida,Gulf,Margate,2024-03-04,Lot's O' Nuts,Standard Class,10.47,7.47,71.35,4,Moderate Delay,Good,3,3.00
US-2021-116239-CHO-FUD-51000,South Carolina,Gulf,Columbia,2024-03-04,Lot's O' Nuts,Same Day,18.00,12.00,66.67,1,On Time,Excellent,5,6.00
US-2021-169061-CHO-TRI-54000,New York,Atlantic,Yonkers,2024-03-05,Wicked Choccy's,Second Class,11.25,7.35,65.33,3,On Time,Good,3,3.90
US-2021-169061-CHO-NUT-13000,New York,Atlantic,Yonkers,2024-03-05,Lot's O' Nuts,Second Class,20.94,14.94,71.35,5,Moderate Delay,Average,6,6.00
US-2021-169061-CHO-TRI-54000,New York,Atlantic,Yonkers,2024-03-05,Wicked Choccy's,Second Class,7.50,4.90,65.33,3,On Time,Good,2,2.60
US-2021-169061-CHO-NUT-13000,New York,Atlantic,Yonkers,2024-03-05,Lot's O' Nuts,Second Class,6.98,4.98,71.35,5,Moderate Delay,Average,2,2.00
US-2021-104563-OTH-KAZ-38000,Washington,Pacific,Seattle,2024-03-07,The Other Factory,Standard Class,19.50,1.50,7.69,5,Moderate Delay,Average,6,18.00
US-2021-156587-CHO-NUT-13000,Washington,Pacific,Seattle,2024-03-07,Lot's O' Nuts,First Class,3.49,2.49,71.35,2,On Time,Excellent,1,1.00
US-2021-104563-CHO-NUT-13000,Washington,Pacific,Seattle,2024-03-07,Lot's O' Nuts,Standard Class,6.98,4.98,71.35,6,Delayed,Average,2,2.00
US-2021-104563-CHO-SCR-58000,Washington,Pacific,Seattle,2024-03-07,Lot's O' Nuts,Standard Class,18.00,12.50,69.44,4,Moderate Delay,Good,5,5.50
US-2021-156587-CHO-FUD-51000,Washington,Pacific,Seattle,2024-03-07,Lot's O' Nuts,First Class,10.80,7.20,66.67,2,On Time,Excellent,3,3.60
US-2021-131982-CHO-FUD-51000,Washington,Pacific,Des Moines,2024-03-07,Lot's O' Nuts,Second Class,7.20,4.80,66.67,4,Moderate Delay,Good,2,2.40
