Factory -> State Route,Total_Sales,Total_Profit,Shipments,Avg_Lead_Time,Avg_Margin
The Other Factory -> Ohio,29.25,2.25,3,4.00,7.69
Wicked Choccy's -> South Dakota,26.25,17.15,2,5.00,65.33
The Other Factory -> Kentucky,26.00,2.00,2,1.50,7.69
The Other Factory -> Delaware,26.00,2.00,2,4.00,7.69
The Other Factory -> Oregon,26.00,2.00,2,3.00,7.69
Wicked Choccy's -> West Virginia,25.25,16.47,2,4.50,65.13
Sugar Shack -> Pennsylvania,24.23,14.43,3,5.67,56.33
The Other Factory -> Rhode Island,22.75,1.75,1,7.00,7.69
Secret Factory -> Indiana,21.25,11.05,4,4.25,52.00
Secret Factory -> North Carolina,20.00,10.40,4,3.75,52.00
The Other Factory -> Colorado,19.50,1.50,2,4.00,7.69
The Other Factory -> Indiana,19.50,1.50,1,6.00,7.69
Sugar Shack -> Ohio,18.46,9.86,2,2.50,54.49
Lot's O' Nuts -> Manitoba,18.00,12.00,2,1.50,66.67
Sugar Shack -> Michigan,17.74,10.09,3,4.67,56.33
The Other Factory -> Nevada,16.25,1.25,1,1.00,7.69
Wicked Choccy's -> District of Columbia,16.25,10.55,2,6.00,64.92
Sugar Shack -> Texas,15.00,7.00,3,4.33,46.67
Lot's O' Nuts -> Wyoming,13.96,9.96,1,6.00,71.35
Secret Factory -> New Mexico,12.50,6.50,2,3.50,52.00
Sugar Shack -> Illinois,12.00,6.30,2,3.50,50.00
Sugar Shack -> Arizona,11.25,6.75,1,6.00,60.00
Secret Factory -> Louisiana,11.25,5.85,2,5.00,52.00
The Other Factory -> Connecticut,9.75,0.75,2,5.50,7.69
The Other Factory -> Louisiana,9.75,0.75,1,4.00,7.69
The Other Factory -> North Carolina,9.00,7.00,1,0.00,77.78
Secret Factory -> Maryland,8.75,4.55,3,5.67,52.00
Secret Factory -> Vermont,7.50,3.90,1,7.00,52.00
The Other Factory -> South Carolina,6.50,0.50,1,5.00,7.69
The Other Factory -> Missouri,6.50,0.50,1,4.00,7.69
Secret Factory -> New Hampshire,6.25,3.25,1,6.00,52.00
Secret Factory -> South Carolina,6.25,3.25,1,4.00,52.00
Secret Factory -> New Jersey,6.25,3.25,2,6.50,52.00
Sugar Shack -> California,6.00,2.80,1,4.00,46.67
Sugar Shack -> New Jersey,5.97,3.72,1,5.00,62.31
Secret Factory -> Minnesota,5.00,2.60,1,3.00,52.00
Sugar Shack -> Delaware,4.50,2.10,1,5.00,46.67
Sugar Shack -> Rhode Island,4.50,2.10,1,4.00,46.67
Sugar Shack -> Connecticut,3.98,2.48,1,6.00,62.31
The Other Factory -> Maryland,3.25,0.25,1,7.00,7.69
Secret Factory -> Connecticut,2.50,1.30,1,3.00,52.00
Secret Factory -> Nebraska,2.50,1.30,1,4.00,52.00
Sugar Shack -> Washington,1.99,1.24,1,4.00,62.31
Sugar Shack -> Tennessee,1.50,0.60,1,4.00,40.00
