State/Province,Metric,Mean,Median,Std Dev,Variance,Min,Max,Q1,Q3,IQR
Newfoundland and Labrador,Gross Profit,18.50,20.00,3.35,11.25,12.50,20.00,20.00,20.00,0.00
Newfoundland and Labrador,Shipping Lead Time (Simulated),5.40,6.00,1.34,1.80,4.00,7.00,4.00,6.00,2.00
North Carolina,Sales,13.90,10.80,8.75,76.62,1.25,52.50,7.20,18.00,10.80
North Carolina,Gross Profit,9.39,7.47,5.92,35.03,0.65,34.30,4.98,12.45,7.47
North Carolina,Shipping Lead Time (Simulated),4.46,5.00,1.91,3.67,0.00,7.00,3.00,6.00,3.00
North Dakota,Sales,15.67,13.96,10.63,113.08,3.60,37.50,10.80,16.50,5.70
North Dakota,Gross Profit,10.57,9.80,6.89,47.44,2.50,24.50,7.35,11.23,3.88
North Dakota,Shipping Lead Time (Simulated),4.57,5.00,1.40,1.95,3.00,7.00,3.50,5.00,1.50
Nova Scotia,Sales,14.58,16.25,2.58,6.67,11.25,16.25,12.50,16.25,3.75
Nova Scotia,Gross Profit,9.48,10.55,1.65,2.73,7.35,10.55,8.15,10.55,2.40
Nova Scotia,Shipping Lead Time (Simulated),4.67,4.50,1.21,1.47,3.00,6.00,4.00,5.75,1.75
Ohio,Sales,14.56,10.80,15.50,240.19,1.25,180.00,7.20,18.00,10.80
Ohio,Gross Profit,9.48,7.35,8.36,69.91,0.65,90.00,4.90,12.45,7.55
Ohio,Shipping Lead Time (Simulated),3.93,4.00,2.05,4.18,0.00,7.00,3.00,5.00,2.00
Oklahoma,Sales,13.34,10.80,7.86,61.77,3.25,45.00,7.20,18.00,10.80
Oklahoma,Gross Profit,9.05,7.35,5.36,28.78,2.11,29.40,4.90,12.00,7.10
Oklahoma,Shipping Lead Time (Simulated),4.65,5.00,2.12,4.48,0.00,7.00,4.00,6.00,2.00
Ontario,Sales,14.14,11.90,10.10,101.92,3.25,50.40,6.86,18.94,12.08
Ontario,Gross Profit,9.42,7.97,6.75,45.54,2.11,35.00,4.65,12.54,7.88
Ontario,Shipping Lead Time (Simulated),4.98,5.00,1.51,2.27,1.00,7.00,4.00,6.00,2.00
Oregon,Sales,15.49,13.00,14.40,207.26,3.25,140.00,7.50,18.19,10.69
Oregon,Gross Profit,10.10,7.97,8.02,64.35,0.75,70.00,4.96,12.46,7.50
Oregon,Shipping Lead Time (Simulated),4.68,5.00,1.58,2.50,1.00,7.00,4.00,6.00,2.00
Pennsylvania,Sales,13.77,10.80,14.35,206.05,1.50,260.00,7.20,17.86,10.66
Pennsylvania,Gross Profit,8.95,7.47,7.85,61.55,0.50,130.00,4.90,11.81,6.91
Pennsylvania,Shipping Lead Time (Simulated),4.48,5.00,1.89,3.57,0.00,7.00,3.00,6.00,3.00
Prince Edward Island,Sales,13.01,10.80,5.03,25.33,6.50,19.50,10.80,17.45,6.65
Prince Edward Island,Gross Profit,8.87,7.50,3.42,11.68,4.22,12.66,7.50,12.45,4.95
Prince Edward Island,Shipping Lead Time (Simulated),5.70,6.00,1.16,1.34,4.00,7.00,5.00,6.75,1.75
Quebec,Sales,12.06,9.75,10.23,104.75,3.25,60.00,6.50,16.25,9.75
Quebec,Gross Profit,7.70,6.33,5.56,30.92,2.11,30.00,4.22,10.55,6.33
Quebec,Shipping Lead Time (Simulated),4.94,5.00,1.91,3.64,0.00,7.00,4.00,6.00,2.00
Rhode Island,Sales,14.39,10.80,14.40,207.42,2.50,100.00,7.20,18.00,10.80
Rhode Island,Gross Profit,8.95,7.47,7.66,58.73,1.30,50.00,4.80,12.12,7.33
Rhode Island,Shipping Lead Time (Simulated),3.91,4.00,1.46,2.12,1.00,7.00,3.00,5.00,2.00
Saskatchewan,Sales,14.62,14.62,11.49,132.03,6.50,22.75,10.56,18.69,8.12
Saskatchewan,Gross Profit,9.49,9.49,7.46,55.65,4.22,14.77,6.86,12.13,5.28
Saskatchewan,Shipping Lead Time (Simulated),5.50,5.50,2.12,4.50,4.00,7.00,4.75,6.25,1.50
South Carolina,Sales,14.66,14.18,6.90,47.66,6.25,29.25,9.19,18.75,9.56
South Carolina,Gross Profit,9.72,9.60,4.80,23.00,0.50,19.92,6.00,12.50,6.50
South Carolina,Shipping Lead Time (Simulated),3.88,4.00,1.54,2.37,0.00,7.00,3.00,5.00,2.00
South Dakota,Sales,13.34,10.64,7.09,50.25,6.98,25.20,8.24,16.76,8.52
South Dakota,Gross Profit,9.18,7.47,4.88,23.77,4.90,17.50,5.55,11.06,5.51
South Dakota,Shipping Lead Time (Simulated),4.90,5.00,1.37,1.88,3.00,7.00,4.00,6.00,2.00
Tennessee,Sales,13.03,10.80,7.44,55.32,1.50,40.00,7.20,17.59,10.39
Tennessee,Gross Profit,8.59,7.47,4.94,24.41,0.50,22.50,4.98,12.00,7.02
Tennessee,Shipping Lead Time (Simulated),4.85,5.00,1.61,2.60,0.00,7.00,4.00,6.00,2.00
Texas,Sales,13.68,10.80,10.76,115.76,1.25,200.00,7.20,18.00,10.80
Texas,Gross Profit,9.08,7.47,6.40,40.96,0.50,100.00,4.98,12.25,7.27
Texas,Shipping Lead Time (Simulated),4.44,5.00,1.81,3.29,0.00,7.00,3.00,6.00,3.00
Utah,Sales,16.26,11.25,14.62,213.73,3.60,100.00,7.50,18.00,10.50
Utah,Gross Profit,10.55,7.50,7.93,62.84,2.40,50.00,5.00,12.50,7.50
Utah,Shipping Lead Time (Simulated),4.63,5.00,1.83,3.33,0.00,7.00,3.75,6.00,2.25
Vermont,Sales,14.77,11.25,12.33,152.03,3.49,46.80,7.50,17.12,9.62
Vermont,Gross Profit,10.00,7.47,8.72,76.05,2.45,32.50,4.40,11.53,7.12
Vermont,Shipping Lead Time (Simulated),5.91,6.00,1.22,1.49,3.00,7.00,5.50,7.00,1.50
Virginia,Sales,14.15,11.25,9.70,94.00,1.25,80.00,7.20,17.86,10.66
Virginia,Gross Profit,9.27,7.50,6.21,38.51,0.50,40.00,4.90,12.45,7.55
Virginia,Shipping Lead Time (Simulated),4.20,4.00,1.72,2.97,0.00,7.00,3.00,5.00,2.00
Washington,Sales,13.76,10.80,9.42,88.80,1.25,80.00,7.20,18.00,10.80
Washington,Gross Profit,9.07,7.47,5.85,34.25,0.25,40.00,4.98,12.25,7.27
Washington,Shipping Lead Time (Simulated),4.42,5.00,1.93,3.74,0.00,7.00,3.00,6.00,3.00
West Virginia,Sales,15.99,14.78,9.43,88.98,6.50,27.92,9.73,21.04,11.32
West Virginia,Gross Profit,10.97,9.88,6.82,46.45,4.22,19.92,6.68,14.17,7.49
West Virginia,Shipping Lead Time (Simulated),3.75,4.50,1.89,3.58,1.00,5.00,3.25,5.00,1.75
Wisconsin,Sales,17.52,13.96,23.33,544.31,3.25,220.00,7.50,20.94,13.44
Wisconsin,Gross Profit,11.12,9.60,11.79,139.07,2.11,110.00,5.00,14.40,9.40
Wisconsin,Shipping Lead Time (Simulated),4.80,5.00,1.95,3.79,0.00,7.00,4.00,6.00,2.00
Wyoming,Sales,13.96,13.96,,,13.96,13.96,13.96,13.96,0.00
Wyoming,Gross Profit,9.96,9.96,,,9.96,9.96,9.96,9.96,0.00
Wyoming,Shipping Lead Time (Simulated),6.00,6.00,,,6.00,6.00,6.00,6.00,0.00
